time,open,close,high,low
2020-04-01 21:00:00,1.09649,1.09486,1.09691,1.09444
2020-04-01 22:00:00,1.09486,1.09567,1.09600,1.09467
2020-04-01 23:00:00,1.09566,1.09517,1.09566,1.09461
2020-04-02 00:00:00,1.09517,1.09432,1.09531,1.09390
2020-04-02 01:00:00,1.09431,1.09409,1.09594,1.09408
2020-04-02 02:00:00,1.09410,1.09346,1.09453,1.09331
2020-04-02 03:00:00,1.09347,1.09392,1.09402,1.09305
2020-04-02 04:00:00,1.09392,1.09443,1.09452,1.09348
2020-04-02 05:00:00,1.09443,1.09467,1.09507,1.09413
2020-04-02 06:00:00,1.09466,1.09371,1.09648,1.09342
2020-04-02 07:00:00,1.09370,1.09325,1.09531,1.09319
2020-04-02 08:00:00,1.09325,1.09193,1.09350,1.09150
2020-04-02 09:00:00,1.09193,1.09353,1.09400,1.09149
2020-04-02 10:00:00,1.09352,1.09201,1.09380,1.09144
2020-04-02 11:00:00,1.09201,1.09138,1.09295,1.09084
2020-04-02 12:00:00,1.09137,1.08798,1.09154,1.08752
2020-04-02 13:00:00,1.08797,1.08522,1.08825,1.08407
2020-04-02 14:00:00,1.08521,1.08626,1.09003,1.08440
2020-04-02 15:00:00,1.08623,1.08619,1.08814,1.08446
2020-04-02 16:00:00,1.08620,1.08418,1.08741,1.08373
2020-04-02 17:00:00,1.08418,1.08263,1.08488,1.08259
2020-04-02 18:00:00,1.08263,1.08517,1.08519,1.08208
2020-04-02 19:00:00,1.08517,1.08499,1.08581,1.08417
2020-04-02 20:00:00,1.08503,1.08604,1.08671,1.08456
2020-04-02 21:00:00,1.08607,1.08581,1.08653,1.08566
2020-04-02 22:00:00,1.08582,1.08507,1.08598,1.08507
2020-04-02 23:00:00,1.08508,1.08464,1.08516,1.08424
2020-04-03 00:00:00,1.08464,1.08429,1.08464,1.08335
2020-04-03 01:00:00,1.08428,1.08537,1.08557,1.08398
2020-04-03 02:00:00,1.08537,1.08545,1.08555,1.08484
2020-04-03 03:00:00,1.08545,1.08459,1.08548,1.08397
2020-04-03 04:00:00,1.08458,1.08440,1.08487,1.08370
2020-04-03 05:00:00,1.08439,1.08478,1.08515,1.08387
2020-04-03 06:00:00,1.08476,1.08279,1.08476,1.08240
2020-04-03 07:00:00,1.08280,1.07905,1.08315,1.07877
2020-04-03 08:00:00,1.07906,1.07987,1.08068,1.07873
2020-04-03 09:00:00,1.07986,1.08133,1.08144,1.07868
2020-04-03 10:00:00,1.08133,1.08013,1.08163,1.08003
2020-04-03 11:00:00,1.08013,1.07892,1.08040,1.07847
2020-04-03 12:00:00,1.07892,1.07765,1.08070,1.07756
2020-04-03 13:00:00,1.07767,1.07896,1.07985,1.07754
2020-04-03 14:00:00,1.07895,1.07978,1.08064,1.07729
2020-04-03 15:00:00,1.07977,1.07979,1.08095,1.07817
2020-04-03 16:00:00,1.07984,1.07871,1.07984,1.07785
2020-04-03 17:00:00,1.07873,1.07985,1.08010,1.07824
2020-04-03 18:00:00,1.07986,1.08107,1.08165,1.07964
2020-04-03 19:00:00,1.08106,1.08097,1.08285,1.08085
2020-04-03 20:00:00,1.08100,1.07996,1.08187,1.07996
2020-04-05 21:00:00,1.08168,1.08134,1.08219,1.08099
2020-04-05 22:00:00,1.08121,1.08186,1.08228,1.08050
2020-04-05 23:00:00,1.08185,1.08060,1.08195,1.08046
2020-04-06 00:00:00,1.08058,1.08147,1.08238,1.07992
2020-04-06 01:00:00,1.08146,1.08175,1.08214,1.08134
2020-04-06 02:00:00,1.08175,1.08121,1.08187,1.08059
2020-04-06 03:00:00,1.08122,1.08151,1.08222,1.08109
2020-04-06 04:00:00,1.08152,1.08150,1.08237,1.08106
2020-04-06 05:00:00,1.08149,1.08267,1.08357,1.08123
2020-04-06 06:00:00,1.08267,1.08102,1.08268,1.08088
2020-04-06 07:00:00,1.08102,1.08177,1.08312,1.08071
2020-04-06 08:00:00,1.08178,1.07931,1.08178,1.07834
2020-04-06 09:00:00,1.07932,1.08120,1.08132,1.07902
2020-04-06 10:00:00,1.08121,1.08006,1.08182,1.07997
2020-04-06 11:00:00,1.08007,1.07996,1.08138,1.07889
2020-04-06 12:00:00,1.07995,1.07923,1.08066,1.07798
2020-04-06 13:00:00,1.07922,1.08027,1.08028,1.07686
2020-04-06 14:00:00,1.08027,1.07855,1.08096,1.07778
2020-04-06 15:00:00,1.07854,1.08071,1.08180,1.07829
2020-04-06 16:00:00,1.08071,1.08021,1.08085,1.07938
2020-04-06 17:00:00,1.08022,1.07999,1.08060,1.07885
2020-04-06 18:00:00,1.07998,1.07965,1.08032,1.07958
2020-04-06 19:00:00,1.07965,1.07984,1.07990,1.07829
2020-04-06 20:00:00,1.07984,1.07939,1.08000,1.07906
2020-04-06 21:00:00,1.07938,1.07947,1.07998,1.07934
2020-04-06 22:00:00,1.07950,1.07855,1.07977,1.07840
2020-04-06 23:00:00,1.07855,1.07993,1.08024,1.07851
2020-04-07 00:00:00,1.07994,1.07940,1.08024,1.07907
2020-04-07 01:00:00,1.07941,1.08069,1.08097,1.07912
2020-04-07 02:00:00,1.08070,1.08083,1.08101,1.08043
2020-04-07 03:00:00,1.08082,1.08149,1.08189,1.08071
2020-04-07 04:00:00,1.08149,1.08267,1.08304,1.08117
2020-04-07 05:00:00,1.08266,1.08295,1.08408,1.08211
2020-04-07 06:00:00,1.08295,1.08593,1.08622,1.08235
2020-04-07 07:00:00,1.08593,1.08781,1.08789,1.08546
2020-04-07 08:00:00,1.08780,1.08684,1.08783,1.08521
2020-04-07 09:00:00,1.08683,1.08744,1.08792,1.08577
2020-04-07 10:00:00,1.08744,1.08782,1.08932,1.08732
2020-04-07 11:00:00,1.08781,1.08779,1.08826,1.08606
2020-04-07 12:00:00,1.08778,1.09055,1.09175,1.08741
2020-04-07 13:00:00,1.09054,1.09151,1.09174,1.08983
2020-04-07 14:00:00,1.09150,1.08842,1.09268,1.08809
2020-04-07 15:00:00,1.08841,1.08861,1.08979,1.08764
2020-04-07 16:00:00,1.08862,1.08966,1.09100,1.08831
2020-04-07 17:00:00,1.08966,1.09038,1.09047,1.08892
2020-04-07 18:00:00,1.09036,1.09028,1.09100,1.09018
2020-04-07 19:00:00,1.09025,1.09050,1.09101,1.09016
2020-04-07 20:00:00,1.09049,1.08930,1.09049,1.08899
2020-04-07 21:00:00,1.08920,1.08915,1.08980,1.08913
2020-04-07 22:00:00,1.08922,1.08927,1.08966,1.08914
2020-04-07 23:00:00,1.08925,1.08937,1.09024,1.08917
2020-04-08 00:00:00,1.08937,1.08681,1.08972,1.08673
2020-04-08 01:00:00,1.08682,1.08714,1.08796,1.08679
2020-04-08 02:00:00,1.08712,1.08649,1.08764,1.08646
2020-04-08 03:00:00,1.08650,1.08600,1.08678,1.08590
2020-04-08 04:00:00,1.08600,1.08678,1.08717,1.08600
2020-04-08 05:00:00,1.08675,1.08818,1.08882,1.08650
2020-04-08 06:00:00,1.08818,1.08573,1.08829,1.08302
2020-04-08 07:00:00,1.08575,1.08609,1.08658,1.08456
2020-04-08 08:00:00,1.08609,1.08524,1.08627,1.08460
2020-04-08 09:00:00,1.08527,1.08638,1.08741,1.08527
2020-04-08 10:00:00,1.08639,1.08718,1.08797,1.08611
2020-04-08 11:00:00,1.08718,1.08686,1.08771,1.08574
2020-04-08 12:00:00,1.08685,1.08730,1.08848,1.08668
2020-04-08 13:00:00,1.08730,1.08805,1.08884,1.08697
2020-04-08 14:00:00,1.08807,1.08637,1.08870,1.08536
2020-04-08 15:00:00,1.08638,1.08641,1.08836,1.08593
2020-04-08 16:00:00,1.08640,1.08638,1.08661,1.08512
2020-04-08 17:00:00,1.08638,1.08660,1.08672,1.08608
2020-04-08 18:00:00,1.08659,1.08623,1.08730,1.08611
2020-04-08 19:00:00,1.08623,1.08535,1.08670,1.08522
2020-04-08 20:00:00,1.08534,1.08591,1.08591,1.08505
2020-04-08 21:00:00,1.08591,1.08571,1.08622,1.08550
2020-04-08 22:00:00,1.08585,1.08596,1.08615,1.08546
2020-04-08 23:00:00,1.08595,1.08602,1.08624,1.08576
2020-04-09 00:00:00,1.08602,1.08719,1.08806,1.08583
2020-04-09 01:00:00,1.08718,1.08594,1.08774,1.08562
2020-04-09 02:00:00,1.08595,1.08619,1.08623,1.08538
2020-04-09 03:00:00,1.08619,1.08668,1.08700,1.08569
2020-04-09 04:00:00,1.08670,1.08654,1.08712,1.08627
2020-04-09 05:00:00,1.08654,1.08557,1.08667,1.08550
2020-04-09 06:00:00,1.08557,1.08601,1.08607,1.08411
2020-04-09 07:00:00,1.08602,1.08759,1.08823,1.08581
2020-04-09 08:00:00,1.08759,1.08695,1.08788,1.08677
2020-04-09 09:00:00,1.08695,1.08867,1.08880,1.08664
2020-04-09 10:00:00,1.08867,1.08600,1.08895,1.08555
2020-04-09 11:00:00,1.08601,1.08582,1.08648,1.08498
2020-04-09 12:00:00,1.08581,1.09043,1.09103,1.08581
2020-04-09 13:00:00,1.09043,1.09315,1.09418,1.08952
2020-04-09 14:00:00,1.09316,1.09372,1.09455,1.09151
2020-04-09 15:00:00,1.09373,1.09305,1.09455,1.09258
2020-04-09 16:00:00,1.09306,1.09362,1.09391,1.09231
2020-04-09 17:00:00,1.09363,1.09450,1.09518,1.09309
2020-04-09 18:00:00,1.09450,1.09224,1.09469,1.09202
2020-04-09 19:00:00,1.09223,1.09363,1.09371,1.09208
2020-04-09 20:00:00,1.09363,1.09299,1.09400,1.09240
2020-04-09 21:00:00,1.09299,1.09300,1.09339,1.09260
2020-04-09 22:00:00,1.09301,1.09299,1.09322,1.09250
2020-04-09 23:00:00,1.09308,1.09232,1.09379,1.09224
2020-04-10 00:00:00,1.09232,1.09229,1.09279,1.09206
2020-04-10 01:00:00,1.09230,1.09288,1.09288,1.09212
2020-04-10 02:00:00,1.09292,1.09349,1.09376,1.09259
2020-04-10 03:00:00,1.09349,1.09435,1.09445,1.09328
2020-04-10 04:00:00,1.09433,1.09387,1.09435,1.09376
2020-04-10 05:00:00,1.09387,1.09407,1.09427,1.09296
2020-04-10 06:00:00,1.09410,1.09484,1.09494,1.09391
2020-04-10 07:00:00,1.09484,1.09377,1.09523,1.09353
2020-04-10 08:00:00,1.09377,1.09425,1.09476,1.09376
2020-04-10 09:00:00,1.09426,1.09453,1.09485,1.09424
2020-04-10 10:00:00,1.09454,1.09416,1.09476,1.09396
2020-04-10 11:00:00,1.09414,1.09373,1.09424,1.09367
2020-04-10 12:00:00,1.09374,1.09433,1.09447,1.09373
2020-04-10 13:00:00,1.09433,1.09458,1.09497,1.09421
2020-04-10 14:00:00,1.09457,1.09514,1.09516,1.09448
2020-04-10 15:00:00,1.09513,1.09494,1.09517,1.09444
2020-04-10 16:00:00,1.09492,1.09493,1.09532,1.09478
2020-04-10 17:00:00,1.09492,1.09338,1.09494,1.09329
2020-04-10 18:00:00,1.09338,1.09351,1.09384,1.09332
2020-04-10 19:00:00,1.09352,1.09383,1.09397,1.09333
2020-04-10 20:00:00,1.09383,1.09419,1.09419,1.09347
2020-04-12 21:00:00,1.09499,1.09449,1.09499,1.09390
2020-04-12 22:00:00,1.09448,1.09370,1.09449,1.09333
2020-04-12 23:00:00,1.09371,1.09319,1.09372,1.09307
2020-04-13 00:00:00,1.09319,1.09303,1.09384,1.09287
2020-04-13 01:00:00,1.09303,1.09318,1.09423,1.09277
2020-04-13 02:00:00,1.09317,1.09293,1.09317,1.09250
2020-04-13 03:00:00,1.09292,1.09337,1.09354,1.09259
2020-04-13 04:00:00,1.09338,1.09370,1.09391,1.09338
2020-04-13 05:00:00,1.09370,1.09341,1.09408,1.09336
2020-04-13 06:00:00,1.09341,1.09625,1.09667,1.09339
2020-04-13 07:00:00,1.09619,1.09473,1.09681,1.09445
2020-04-13 08:00:00,1.09472,1.09316,1.09476,1.09276
2020-04-13 09:00:00,1.09315,1.09387,1.09391,1.09307
2020-04-13 10:00:00,1.09389,1.09145,1.09389,1.09037
2020-04-13 11:00:00,1.09144,1.09306,1.09316,1.09096
2020-04-13 12:00:00,1.09304,1.09228,1.09319,1.09172
2020-04-13 13:00:00,1.09228,1.09112,1.09235,1.09053
2020-04-13 14:00:00,1.09109,1.09004,1.09185,1.08968
2020-04-13 15:00:00,1.09003,1.09057,1.09084,1.08929
2020-04-13 16:00:00,1.09057,1.09171,1.09188,1.09041
2020-04-13 17:00:00,1.09170,1.09202,1.09243,1.09059
2020-04-13 18:00:00,1.09200,1.09223,1.09240,1.09169
2020-04-13 19:00:00,1.09224,1.09172,1.09236,1.09128
2020-04-13 20:00:00,1.09174,1.09160,1.09175,1.09085
2020-04-13 21:00:00,1.09161,1.09092,1.09165,1.09055
2020-04-13 22:00:00,1.09092,1.09154,1.09163,1.09091
2020-04-13 23:00:00,1.09153,1.09200,1.09264,1.09150
2020-04-14 00:00:00,1.09198,1.09236,1.09280,1.09168
2020-04-14 01:00:00,1.09236,1.09375,1.09390,1.09171
2020-04-14 02:00:00,1.09376,1.09475,1.09482,1.09368
2020-04-14 03:00:00,1.09475,1.09472,1.09490,1.09428
2020-04-14 04:00:00,1.09472,1.09439,1.09489,1.09414
2020-04-14 05:00:00,1.09439,1.09391,1.09475,1.09377
2020-04-14 06:00:00,1.09391,1.09291,1.09432,1.09244
2020-04-14 07:00:00,1.09290,1.09319,1.09378,1.09250
2020-04-14 08:00:00,1.09319,1.09232,1.09331,1.09151
2020-04-14 09:00:00,1.09228,1.09464,1.09578,1.09200
2020-04-14 10:00:00,1.09464,1.09438,1.09508,1.09378
